Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placed,Branch_Agricultural Engineering,Branch_Applied Electronics and Instrumentation,Branch_Automobile Engineering,Branch_Civil Engineering,Branch_Computer Science Engineering,Branch_Electrical Engineering,Branch_Electrical and Electronics Engineering,Branch_Electronics and Communications Engineering,Branch_Electronics and Instrumentation Engineering,Branch_Information Technology,Branch_Instrumentation and Control Engineering,Branch_MCA,Branch_Mechanical Engineering,Degree_B. Tech.,Degree_BE,Degree_M. Tech.,Degree_MCA
38,47,13,53,35,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
60,70,60,50,40,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
58,73,33,67,30,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
36,33,40,33,45,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60,60,55,65,40,73,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
69,67,93,47,65,40,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
56,53,47,67,65,53,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,73,53,33,15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
60,60,55,65,50,33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
49,60,47,40,55,53,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
55,60,35,70,37,40,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40,33,40,47,20,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,20,33,47,25,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,73,47,60,25,33,96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,60,33,73,35,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
75,85,60,80,13,20,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,33,27,60,25,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,47,40,40,35,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
60,67,60,53,70,33,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
53,70,25,65,37,47,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,47,47,67,45,40,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
60,60,73,47,50,53,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
36,33,33,40,30,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
62,53,67,67,35,67,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,47,27,60,40,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
58,80,40,53,30,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50,65,25,60,33,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
44,47,40,47,50,60,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
40,40,40,40,33,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
56,60,60,47,55,47,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
60,65,55,60,23,53,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
76,73,67,87,55,67,84,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,33,27,53,25,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,60,15,45,33,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
47,65,35,40,30,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
82,80,100,67,55,80,96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
36,13,47,47,25,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,60,30,75,33,40,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,80,13,73,35,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,53,53,53,70,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
63,80,50,60,33,33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
33,40,40,20,25,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,67,40,47,40,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
47,53,27,60,35,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
24,20,13,40,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
