iter	Logloss
0	0.6798610458
1	0.6677697971
2	0.6567322955
3	0.6446310513
4	0.6347930919
5	0.6275561529
6	0.6175034413
7	0.6068627511
8	0.5976182317
9	0.5885803978
10	0.5800085741
11	0.5737215536
12	0.5619466953
13	0.5535257708
14	0.5454203858
15	0.5370133552
16	0.5297708784
17	0.5222202583
18	0.5182164089
19	0.5127929104
20	0.5072082765
21	0.5019864932
22	0.4949354169
23	0.4898063863
24	0.4845262298
25	0.4811732335
26	0.476075332
27	0.4681710599
28	0.4637496403
29	0.4597025122
30	0.4562012614
31	0.4521366054
32	0.4459050015
33	0.4428600279
34	0.4372415794
35	0.4333597936
36	0.4299159809
37	0.4263710042
38	0.4231566057
39	0.4198532919
40	0.4174319749
41	0.4140187575
42	0.4111092903
43	0.4079608833
44	0.4044376509
45	0.4017044695
46	0.3994287692
47	0.39480353
48	0.3930809747
49	0.3906376217
50	0.387440032
51	0.3855560199
52	0.3831638813
53	0.3812752587
54	0.3798090693
55	0.3783175865
56	0.3764712542
57	0.3720709534
58	0.3693957927
59	0.367206965
60	0.3652922857
61	0.3638468018
62	0.3625970088
63	0.3610394166
64	0.3586424025
65	0.3568199329
66	0.3532339943
67	0.3517781608
68	0.349947732
69	0.3474184344
70	0.3461412022
71	0.3452750962
72	0.3441248509
73	0.3426102201
74	0.3412777784
75	0.340407127
76	0.3373467427
77	0.3344987677
78	0.3335734648
79	0.3326309237
80	0.3314539346
81	0.3299777437
82	0.3284490014
83	0.3272652672
84	0.3249950389
85	0.3224431087
86	0.3211077743
87	0.3203589366
88	0.3194127205
89	0.3185696177
90	0.3176554299
91	0.316520918
92	0.3151514247
93	0.3140594084
94	0.3134174082
95	0.3124476708
96	0.3116348341
97	0.3107826134
98	0.3097820603
99	0.3085344963
100	0.3079251927
101	0.3061639435
102	0.3041456971
103	0.3034613949
104	0.3027891508
105	0.3023801058
106	0.3017923148
107	0.3008848449
108	0.3003458463
109	0.2994878925
110	0.2976782785
111	0.2969904661
112	0.2959943334
113	0.2955015999
114	0.2949389513
115	0.2939478762
116	0.293331572
117	0.2924759159
118	0.2919092179
119	0.2910791252
120	0.2906717579
121	0.2902900409
122	0.2893041318
123	0.2888475278
124	0.2873890431
125	0.2868587086
126	0.286053848
127	0.2855316123
128	0.2849705567
129	0.2841794225
130	0.2836656517
131	0.2829314965
132	0.2822341259
133	0.2817600938
134	0.2813389288
135	0.2808654951
136	0.2802117151
137	0.2797457741
138	0.2792514443
139	0.2785017884
140	0.2778625285
141	0.2775294262
142	0.2771768588
143	0.2766904388
144	0.2758210853
145	0.2751155173
146	0.2745745479
147	0.2741541597
148	0.273336304
149	0.2728571024
150	0.27247782
151	0.271860398
152	0.2714313723
153	0.2709337366
154	0.2706694555
155	0.2702149568
156	0.2693076417
157	0.2690715809
158	0.2686611108
159	0.2682478699
160	0.2677862454
161	0.2665396499
162	0.2661214687
163	0.2657461027
164	0.2652505384
165	0.2644493908
166	0.2641976702
167	0.2637601462
168	0.2634606639
169	0.2632118704
170	0.2628840754
171	0.2624711811
172	0.2620156046
173	0.261628308
174	0.2613746546
175	0.2609959781
176	0.2605723808
177	0.260314174
178	0.2598217069
179	0.2593223267
180	0.2589419956
181	0.2587685758
182	0.2585511993
183	0.2580809849
184	0.2577099686
185	0.2572400755
186	0.2567144875
187	0.2565307127
188	0.2562926842
189	0.2558907353
190	0.2555199532
191	0.2551479043
192	0.2548586842
193	0.2544859085
194	0.254143798
195	0.2538115575
196	0.2534329308
197	0.2531686709
198	0.2528652587
199	0.2522798441
200	0.2518718658
201	0.2514274099
202	0.2508708321
203	0.2504944102
204	0.2499632279
205	0.2496459236
206	0.2492089691
207	0.2489719467
208	0.2486202536
209	0.2480425029
210	0.2479111928
211	0.2473878812
212	0.2469209078
213	0.2466073759
214	0.2462584256
215	0.2455702046
216	0.2453406034
217	0.2451198321
218	0.2447692062
219	0.2444859125
220	0.2440054952
221	0.2434952729
222	0.2428098146
223	0.2425960208
224	0.2424115162
225	0.2422392133
226	0.2420488025
227	0.2416748087
228	0.2410796015
229	0.2406989514
230	0.2401272052
231	0.2398276043
232	0.2396654053
233	0.2393649684
234	0.2390218325
235	0.2388589249
236	0.2385508355
237	0.2381609914
238	0.2379303195
239	0.2376508742
240	0.2375401764
241	0.2373631615
242	0.2369957141
243	0.2367073419
244	0.2364754244
245	0.2361746407
